area,short names ,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ALB,value_added_Agr,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,value_added_Agr,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,value_added_Agr,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,value_added_Agr,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,value_added_Agr,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019
AZE,value_added_Agr,,,,,,25.120435,24.71017,19.985563,17.946765,18.169681,,,,,,,,,,,,,,,,
BHS,value_added_Agr,1.214038,1.255054,0.992317,0.9343,0.949866,0.900017,1.055833,0.957252,0.849104,0.6663,0.731584,0.81124,0.726625,0.603067,0.447827,0.52277,0.607576,0.62548,0.716103,0.770812,0.623466,0.640129,0.602425,0.621384,0.603473,
BHR,value_added_Agr,,,0.548766,0.516357,0.502026,0.485268,0.485131,0.47393,0.510762,0.477818,0.408698,0.40068,0.367791,0.329154,0.242823,0.205616,0.145394,0.182045,0.163358,0.211774,0.201644,0.199664,0.190041,0.188326,0.201727,
BGD,value_added_Agr,,,22.66902,18.857621,17.909934,18.431726,17.649047,17.539693,17.221559,17.678257,16.987675,16.153558,15.01261,14.471151,14.054889,13.53136,12.801191,12.715386,12.745934,12.355792,12.424332,12.257964,11.762672,11.05153,12.67832,
BLR,value_added_Agr,,,,,,,,12.314645,11.056539,11.751309,11.153105,9.409173,9.200017,7.731085,7.991727,7.583268,7.593035,7.232544,7.599827,7.399104,7.172078,7.506484,7.765976,6.317738,6.760369,
BEL,value_added_Agr,,,,,,1.217394,1.242,1.25473,1.164527,0.987569,1.106528,1.040566,0.971916,0.968451,0.965415,0.78878,0.852318,0.830082,0.66883,0.61563,0.727004,0.606321,0.749884,0.67354,0.595256,
BLZ,value_added_Agr,,,,,,,,,,,10.435918,9.143663,8.697672,9.006779,9.375991,8.937692,9.083238,8.759351,8.238137,8.365899,8.967429,9.388493,10.735362,9.97771,10.174967,
BEN,value_added_Agr,,,,,,,,,,19.508182,19.15595,19.397942,20.287692,19.467583,21.533767,21.327311,21.578932,20.977423,20.950637,20.649251,19.500597,19.498755,19.056305,18.158293,17.532762,
BTN,value_added_Agr,,,,,,,,,,,20.188479,19.172585,17.916806,17.323227,17.182478,16.46554,15.715904,13.967593,14.03823,13.987388,13.296913,13.111917,12.962153,13.230303,14.135418,
BOL,value_added_Agr,,,,,,,,,,,,,,12.486824,12.443033,10.958301,10.195449,9.288314,9.660298,10.25015,9.440802,8.861855,8.863883,9.081544,8.927883,9.404101
BIH,value_added_Agr,,,,,,,,,,,,,,,,7.166825,6.923573,6.66724,6.161338,6.223811,5.93495,5.824312,5.203041,5.852887,4.954948,
BWA,value_added_Agr,,,3.779855,3.691331,3.271351,4.005304,3.226481,3.054685,2.75198,2.541674,2.331751,,,,,,,,,,,,,,,
VGB,value_added_Agr,,,,,,0.798151,0.781868,0.717544,0.680898,0.61806,,,,,,,,,,,,,,,,
BRN,value_added_Agr,,,,,,,,,,,,,,,,,,,,,0.375862,0.327078,0.3712,0.363336,0.409278,0.501009
BGR,value_added_Agr,,,,,,,,,13.238273,12.481708,10.619669,10.344997,9.430598,8.738469,8.098351,6.775034,5.64652,4.262717,5.430951,3.764442,3.700659,4.12727,4.111092,4.112391,4.063582,
BFA,value_added_Agr,,,,,,,,,,27.220785,26.960978,32.457077,32.320052,31.236169,28.609974,32.44615,30.905132,26.687068,33.334855,28.709123,29.030459,27.398296,27.989723,27.740016,,
BDI,value_added_Agr,,,,,,,,,,,,,,,,39.804589,39.493171,33.979334,36.891281,35.891577,37.115252,35.369674,34.09378,36.979093,,
CMR,value_added_Agr,,,,,,,17.108401,17.657069,17.657378,17.103491,16.31204,16.67494,16.742094,16.334519,15.05759,15.410486,15.382405,15.689058,15.594067,16.642692,16.682329,16.915578,16.772653,16.763263,16.304215,
CAN,value_added_Agr,,,,,,,,1.463405,1.526364,1.481301,1.348543,1.380676,1.285942,1.28331,1.345384,1.079698,0.947364,0.945008,1.190618,0.978075,0.938555,1.211918,1.256303,,,
TCD,value_added_Agr,,,,,,,,,,,,,,,,13.096924,11.94315,11.176114,12.916809,14.142399,21.539758,,,,,
CHL,value_added_Agr,,,,,,,2.810944,2.738166,2.859913,2.789828,2.870815,2.503787,2.60522,2.421502,2.241266,2.299512,2.088912,2.067805,2.135765,2.195971,2.149555,2.21739,2.028659,2.125174,2.263204,
COL,value_added_Agr,,,10.012355,8.982063,8.992766,8.513296,7.775685,7.662974,8.071641,7.902047,7.869334,7.88573,8.06284,7.850337,7.473307,7.296652,6.947158,6.720455,6.498822,6.489685,6.156822,5.933272,5.466398,5.267704,5.58946,
CRI,value_added_Agr,,,,,,,,11.613444,11.645271,10.526212,8.878453,7.873305,7.962745,8.506971,8.580215,8.33698,8.195017,7.537044,6.586676,6.734243,6.284933,5.597055,5.134479,4.802714,,
CIV,value_added_Agr,,,,,,,23.95892,22.333809,23.040969,20.841515,22.494327,,,,,,,,,,,,,,,
HRV,value_added_Agr,,,,,,5.202344,5.192541,4.854921,5.049236,5.06587,4.607722,4.637856,4.56722,3.673251,4.037896,3.620178,3.741479,3.497724,3.563772,3.702045,3.405972,3.235602,3.017631,2.895004,,
CYP,value_added_Agr,,,,,,4.531688,4.286876,3.647829,4.078929,3.639576,3.42834,3.643045,3.574987,3.184204,2.829587,2.514612,2.079585,1.829361,1.922867,1.83474,1.939962,2.033894,1.843104,1.87221,,
DNK,value_added_Agr,2.898422,2.63082,2.404741,2.381581,2.292903,2.545821,2.511158,2.341621,1.848332,1.668518,1.911054,2.065655,1.500563,1.394048,1.429016,0.958459,0.962336,0.98899,0.675892,0.676889,1.008213,1.111945,1.449497,1.079196,1.147254,0.833601
DMA,value_added_Agr,,,,,,,,,,,11.239205,10.382456,9.984506,10.265484,10.257337,10.611725,9.607734,9.477315,10.890288,11.754042,10.958274,11.922916,14.449833,12.321604,11.882031,
ECU,value_added_Agr,,,15.125196,18.874578,17.614811,17.113602,16.238898,15.015881,12.524062,12.921746,11.820592,9.958614,8.896441,8.587808,7.575261,7.124826,7.030355,7.198415,6.934098,7.770378,7.59685,7.339403,6.429209,6.532802,6.538058,
SLV,value_added_Agr,15.580412,15.42459,12.642115,12.581436,12.694172,12.114099,11.683389,12.168376,10.79078,9.262959,8.621766,8.300332,7.419475,7.166965,7.719932,8.607131,8.773231,9.763684,10.339546,10.257987,10.469818,10.359638,9.941063,9.06988,9.35195,9.304746
EST,value_added_Agr,,,,,4.021998,3.002017,2.943043,2.611925,3.024229,1.996765,2.479431,2.548604,2.157235,2.041595,2.06538,1.895706,1.755695,1.83056,1.349496,1.259732,1.598882,1.871291,2.011164,1.762596,1.750454,1.748109
FIN,value_added_Agr,2.876607,2.516042,2.324047,2.549331,2.357659,1.916677,1.668626,1.545088,1.096509,1.238546,1.252743,1.226832,1.189569,1.115004,1.061353,0.987304,0.672599,0.798032,0.664392,0.812025,0.857296,0.806628,0.830359,0.89752,0.690112,0.548714
FRA,value_added_Agr,2.448455,2.197589,2.177965,2.03761,2.168847,2.196794,2.159736,2.105038,2.12397,2.009716,1.916107,1.872294,1.800209,1.688003,1.66125,1.525414,1.353286,1.429328,1.358319,1.195451,1.46211,1.494209,1.500291,1.32088,1.398299,
DEU,value_added_Agr,,0.932662,0.838003,0.820081,0.821952,0.822064,0.87784,0.860662,0.806647,0.788424,0.862753,0.943643,0.757257,0.692768,0.823564,0.59543,0.609631,0.625092,0.700305,0.572699,0.576731,0.633342,0.606179,0.756482,0.600518,
GRC,value_added_Agr,,,,,,7.056829,6.25246,5.944883,5.684266,5.356532,5.018878,4.817979,4.627327,4.625388,3.922439,3.909202,2.836296,2.691047,2.490324,2.484884,2.515645,2.557715,2.840999,2.799933,2.853768,3.213541
GRD,value_added_Agr,,,,,,,,,,,4.180547,3.831475,4.752182,4.162932,3.515231,1.720378,2.533276,2.383756,2.449618,3.19912,3.075336,2.916887,,,,
GTM,value_added_Agr,,,,,,,,,,,,12.718171,12.677946,12.011681,11.639645,11.270446,10.156695,10.390264,10.18432,10.805562,10.115484,10.048044,9.722877,9.946301,10.037547,
HND,value_added_Agr,,,,,,,,,,,12.888076,11.721996,10.967687,10.396238,11.061254,11.473795,10.90267,11.233641,11.512521,10.253882,10.781493,13.43184,12.881387,11.414271,11.731511,11.72285
HUN,value_added_Agr,,,,,,6.753562,6.867131,5.954937,5.61932,4.939642,4.588349,4.562814,3.907762,3.612608,4.071775,3.489025,3.327651,3.2173,3.172615,2.78003,2.790541,3.695349,3.622309,3.603368,3.518453,3.226921
ISL,value_added_Agr,1.495921,1.554347,1.424266,1.33592,1.333687,1.295948,1.210112,1.126346,1.171606,1.196989,1.172103,0.963693,0.980814,0.965933,0.905913,0.873144,0.819157,0.837697,0.990328,1.018502,0.951996,0.998645,1.005771,1.077024,0.987104,
IND,value_added_Agr,,,,25.867304,25.245581,23.432076,24.460171,23.261294,23.393264,21.849998,20.197794,20.220373,18.034137,18.211382,15.281415,15.110392,14.635779,14.918909,14.86707,14.878189,15.254346,14.987176,14.74094,14.793028,14.084355,
IRN,value_added_Agr,,,11.697516,9.992451,10.169994,12.246886,9.764746,9.195199,10.929378,9.25508,8.574991,7.893517,7.484047,7.081375,6.602409,6.216209,6.827148,6.899072,5.927826,6.695947,6.191049,5.436733,7.152392,8.069917,,
IRL,value_added_Agr,,,,,,,,,,,,,,,,,,,,,,1.16262,0.914211,1.048818,1.132946,0.792635
ITA,value_added_Agr,2.991685,3.053788,2.88471,2.780496,2.768024,2.74827,2.753369,2.648942,2.566272,2.535196,2.386089,2.326602,2.1935,2.172272,2.170727,1.858732,1.759152,1.722841,1.724718,1.632676,1.614819,1.72523,1.820532,1.958122,1.806604,
KAZ,value_added_Agr,,,,16.362704,14.847042,12.205501,12.02351,11.290485,8.454811,9.784068,7.956946,8.559415,7.835402,7.761944,7.0242,6.289958,5.424703,5.579862,5.237774,6.084512,4.415834,4.897388,4.195961,4.24414,,
KEN,value_added_Agr,,,18.656742,20.348965,20.421587,23.43234,22.217075,22.358274,22.397219,23.218242,23.227378,22.019614,20.287951,20.313675,19.616209,19.112667,18.835428,18.848641,20.551932,21.603945,22.991032,24.43497,24.099575,24.274709,25.194086,27.871128
KWT,value_added_Agr,,,0.121406,0.164588,0.311281,0.32769,0.309224,0.304117,0.34147,0.359869,0.293864,0.401869,0.465919,0.420551,0.371089,0.279744,0.210383,0.187226,0.148915,0.239376,0.426252,0.416466,0.344813,0.336854,0.426805,
KGZ,value_added_Agr,,,,,,,,,,,34.165494,34.531519,34.396007,33.613192,29.896524,28.476241,28.670991,26.872861,23.477454,18.753015,17.44136,16.556961,16.644166,,,
LVA,value_added_Agr,,,,,,7.100614,6.299529,4.074804,2.60214,2.284709,2.853896,2.998613,2.821229,2.518673,2.815708,2.524778,2.085154,1.938296,1.63195,1.699192,1.757733,1.746068,1.839565,1.500556,1.26301,
LSO,value_added_Agr,7.847913,4.733084,5.794224,5.428193,5.68455,5.844172,5.043816,4.394098,9.576246,10.041037,9.122647,9.893933,7.572294,7.374832,7.013461,6.54233,5.734877,5.488825,5.81419,5.783385,5.433129,5.753906,5.306507,5.126285,,
LTU,value_added_Agr,,,,,,8.976727,10.209562,8.810055,7.083208,5.889878,5.000192,4.316421,4.205132,3.864486,3.623715,3.802003,3.357178,2.904599,2.777518,2.091222,2.437629,2.893766,3.547319,3.008718,2.788393,
LUX,value_added_Agr,1.133304,0.82897,0.870795,0.82961,0.774372,0.808157,0.711997,0.634349,0.692361,0.632946,0.540742,0.530458,0.657111,0.444482,0.521558,0.328194,0.30939,0.381399,0.283514,0.222736,0.217135,0.222821,0.329841,0.239787,0.230632,0.190204
MYS,value_added_Agr,,,,,,,,,,,,,,,,,,,,,7.955974,9.37001,7.679313,7.149281,6.95015,
MLT,value_added_Agr,,,,,,,2.25824,2.236431,2.238922,2.048913,1.760003,1.919078,1.792338,1.631622,1.543516,1.435011,1.38261,1.166893,1.081204,1.224991,1.139009,1.080739,1.005776,0.979649,0.812277,0.819604
MRT,value_added_Agr,,,,,,,,,,29.497872,30.944406,30.057147,29.574866,31.982819,29.944846,25.843747,19.251608,21.074453,19.114475,20.26399,18.480305,,,,,
MEX,value_added_Agr,6.836749,6.586605,5.858575,4.968293,4.483496,4.218549,4.773999,4.277576,4.070582,3.595037,3.206008,3.261956,3.168148,3.046204,3.079845,2.775382,2.821952,2.905927,2.97883,2.982875,3.000065,2.884305,3.037094,3.183056,3.139364,
MNG,value_added_Agr,,,,,,,,,,,,,,,,,,,,,11.480447,10.151693,11.021296,13.259767,13.146697,
MNE,value_added_Agr,,,,,,,,,,,,,,,,,,,,,7.607771,8.017899,7.39149,7.992889,8.016463,
MAR,value_added_Agr,,,,,,,,,15.015317,12.882378,10.627362,11.793627,11.940168,12.961423,12.291911,10.724137,12.638585,10.026717,11.012485,12.20522,12.282826,12.224584,11.508926,12.598853,10.71143,
MOZ,value_added_Agr,,,,,,,26.429672,26.093809,23.503887,20.751185,16.980436,16.458589,20.967935,20.660102,20.256306,20.351858,21.49337,21.522813,23.23175,24.582052,23.689257,22.721118,21.774814,20.587046,19.729116,
MMR,value_added_Agr,46.203054,48.318954,50.478368,54.02002,55.024009,53.078356,53.09308,52.489843,52.256954,52.191917,48.788552,49.040094,48.311143,44.863733,40.91541,38.402899,36.006017,35.33672,31.593959,29.374446,27.926867,23.998164,22.14159,21.230368,19.583529,18.452656
NAM,value_added_Agr,,,,5.470466,8.725027,7.810418,7.337397,6.637598,5.483491,6.048425,6.257717,5.045195,5.546246,5.582219,5.379193,6.317085,6.173375,5.302961,4.041707,4.341263,5.101768,4.989881,4.939256,3.364878,3.841033,3.165455
NLD,value_added_Agr,,,,,,3.084512,2.793418,2.804955,2.381837,2.163736,2.141896,2.069034,1.93488,1.916036,1.721956,1.714598,1.809355,1.681124,1.51229,1.430353,1.651592,1.448371,1.523489,1.663735,1.604807,1.543623
NZL,value_added_Agr,4.504575,5.254915,4.779783,5.080511,4.606086,4.536858,4.561775,4.339115,4.265855,4.561713,5.944692,6.252671,4.253462,4.325892,4.023085,3.279815,3.591245,4.7997,3.762301,4.454569,5.230689,4.980749,4.234568,,,
NIC,value_added_Agr,,,,,16.453808,16.908344,18.275087,16.863389,16.31973,14.335823,15.268564,14.446631,14.05532,13.535862,13.998734,14.146969,13.924281,14.461382,14.037085,14.17781,15.199963,17.222411,15.247437,14.365042,15.230221,
NER,value_added_Agr,,,,,,,32.576697,31.01342,37.331975,37.63396,35.052098,39.059686,39.942372,38.216775,34.818391,37.449664,38.482274,36.790502,39.19767,34.77463,36.413355,33.865529,34.141465,31.930426,32.842759,32.527731
NGA,value_added_Agr,18.338799,18.414041,17.445833,22.610668,26.519598,22.947332,22.473961,24.441056,28.319378,25.529392,18.890107,24.261223,36.21775,31.758053,25.453116,24.603842,24.192121,24.637302,24.703881,27.806905,22.829653,21.34631,21.106398,20.073839,19.288002,19.897509
NOR,value_added_Agr,1.898221,1.675638,1.480888,1.502923,1.342223,1.208152,1.113348,0.980791,0.998889,0.875246,0.724657,0.666694,0.653322,0.640215,0.628402,0.523595,0.511621,0.464308,0.449861,0.508926,0.489833,0.434409,0.441303,0.425416,0.436812,
OMN,value_added_Agr,2.081338,2.256404,1.884456,1.94455,2.028189,1.902485,1.819934,1.859552,2.005897,1.88481,1.424528,1.652335,1.634466,1.525871,1.238772,0.985694,0.884543,0.904882,0.730749,0.946301,0.894494,0.782753,0.679184,0.732378,0.702736,
PAK,value_added_Agr,,,,,,,,,,,,,,,,,20.65583,20.885668,21.559562,21.805545,22.346559,24.299568,22.832008,22.898312,22.898987,23.022529
PAN,value_added_Agr,,,,,,,5.449416,5.313315,5.065676,5.243403,5.106449,4.858735,4.500342,4.507778,4.224468,4.235452,4.153586,3.88873,3.555963,2.983059,2.927672,2.680237,2.60795,,,
PNG,value_added_Agr,,,,,,,,19.549035,20.109006,18.77979,19.005085,19.968318,22.314784,21.849299,20.174467,19.76309,18.400473,,,,,,,,,
PER,value_added_Agr,,,6.756543,7.289681,7.300081,7.058804,7.41662,7.019723,7.320871,6.981575,6.748404,6.715001,6.256472,6.251096,5.902651,5.709045,5.560035,5.69609,6.217981,6.48041,5.988954,6.104019,6.066152,5.758456,6.033848,6.2525
PHL,value_added_Agr,,,,,,,,,,,,,,,,,,,,10.805368,10.286614,10.797902,9.977477,,,
POL,value_added_Agr,,,4.720009,4.678626,4.161003,4.238401,3.973603,3.517349,3.21497,2.785897,2.716514,2.829253,2.366927,2.262599,2.941603,2.584752,2.373928,2.672826,2.203532,2.224881,2.236315,2.439059,2.323686,2.524679,2.24445,
PRT,value_added_Agr,6.216624,5.603496,4.497676,4.392846,4.106586,3.830978,3.754052,3.109707,2.797499,2.591961,2.352368,2.183652,1.96801,1.945836,1.924244,1.693008,1.660163,1.441861,1.420564,1.431762,1.388319,1.232356,1.279707,1.425976,1.389538,
KOR,value_added_Agr,6.580536,5.845807,5.718455,5.042828,4.808257,4.644216,4.334728,3.872353,3.625064,3.710943,3.398566,3.194876,2.929622,2.71612,2.800546,2.486812,2.358774,2.116713,1.928711,1.913957,1.826217,1.872313,1.84476,1.77749,,
MDA,value_added_Agr,,30.897857,34.706999,31.202057,27.25472,29.222893,27.456964,25.926247,25.750616,24.850424,25.380885,22.364795,20.969511,18.278091,17.541808,16.355238,14.467797,9.95059,8.780617,8.457545,12.009999,12.226759,11.181518,12.274032,13.002246,
ROU,value_added_Agr,19.355581,16.773038,16.983378,18.82121,17.734485,17.670798,17.014001,16.994367,13.870884,12.144868,10.324416,12.605893,10.858678,10.981983,12.046167,7.983159,7.353056,4.480115,5.519083,5.093441,5.218373,5.896404,4.24553,4.915022,4.279215,
RUS,value_added_Agr,,,,,,,,,,,,,5.297984,4.709184,4.220896,3.723779,3.400056,3.353634,3.44503,3.720957,2.973534,3.088875,2.861332,3.028864,,
RWA,value_added_Agr,,,,,,,,,,,,,,,,,,,,,,26.84116,,,,
KNA,value_added_Agr,,,,,,,,,,,1.076994,1.221815,1.250032,1.191634,1.194183,1.024045,0.739838,0.741067,0.819024,0.783393,0.776192,0.97725,0.93531,0.918261,0.776772,0.670548
LCA,value_added_Agr,,,,,,,,,,,,,,2.920355,3.157548,2.368015,2.467602,2.206392,3.061944,2.883995,1.879094,1.54894,1.877065,1.952397,,
VCT,value_added_Agr,,,,,,,7.550632,5.774392,6.411799,6.494991,6.780094,5.725357,5.951011,5.046703,4.720502,5.007394,4.826445,4.891174,5.240365,5.396814,5.604176,5.91151,5.742075,6.025493,6.171516,
SEN,value_added_Agr,14.444099,13.647729,13.540317,13.773718,12.841152,14.183847,14.741987,14.163018,14.214665,13.020088,14.112465,13.95293,11.011402,12.527637,11.192205,11.998902,10.538657,9.252459,11.587773,12.654081,12.784966,10.15581,11.118517,11.154314,11.202925,
SRB,value_added_Agr,,,,,,18.949084,19.064136,18.280204,16.289019,18.64133,17.635745,17.342946,12.554438,11.039525,11.445439,9.672155,9.243085,8.047654,8.438416,7.755841,8.210004,8.694071,7.203827,7.541447,7.418878,
SYC,value_added_Agr,,,,,,,,,,,,,,,2.068752,1.825889,1.709374,1.538981,1.426703,1.491323,1.409619,1.360046,1.280448,1.34375,1.300914,
SLE,value_added_Agr,,,,,,,,,,,,29.3255,29.188743,31.999536,33.632556,33.956263,35.042158,36.971168,38.214742,40.181192,37.077004,36.906432,33.208488,31.974142,33.128253,
SVK,value_added_Agr,,,,,,3.853035,3.807031,3.646847,3.765369,3.102186,3.192908,3.730623,3.744651,3.265358,2.936996,2.584544,2.532313,2.82774,2.904005,2.2898,1.880809,2.309308,2.452426,2.724826,2.992596,2.444977
SVN,value_added_Agr,,,,,,3.055445,2.800932,2.973434,2.850374,2.379142,2.380842,2.112016,2.334986,1.68024,1.88675,1.861283,1.51133,1.357205,1.179621,1.194513,1.249649,1.439934,1.229114,1.213196,1.442953,1.451323
SSD,value_added_Agr,,,,,,,,,,,,,,,,,,,3.838226,5.066755,5.10241,,,,,
ESP,value_added_Agr,,,,,,3.50164,4.057863,3.845355,3.659604,3.343676,3.284178,3.235181,3.055968,3.0184,2.730724,2.403698,2.07426,2.167362,2.074761,1.983222,2.136021,2.055586,2.09976,2.302744,,
LKA,value_added_Agr,,,,,,,,,,,,,7.361898,6.68821,6.339184,6.337642,5.780078,5.765093,6.840281,6.337497,6.459003,6.681478,5.366401,5.423188,5.821033,6.063144
SWZ,value_added_Agr,,,,,,,,,,,7.765553,7.721813,8.223552,8.280093,6.240625,7.195126,7.402003,7.233226,6.727446,6.502819,7.132768,7.003409,6.598625,6.19782,5.573411,
SWE,value_added_Agr,,,,1.139382,1.087746,1.032353,0.8768,0.850608,0.802768,0.707419,0.65654,0.659005,0.665324,0.627165,0.605002,0.501246,0.43258,0.487041,0.461891,0.323885,0.39841,0.366518,0.346179,0.314994,0.298818,
CHE,value_added_Agr,2.02127,1.893743,1.746671,1.603549,1.494065,1.435889,1.302368,1.226477,1.180345,1.084714,1.060404,0.944881,0.930845,0.85404,0.920141,0.804873,0.75256,0.731833,0.769281,0.694655,0.639915,0.641603,0.60982,0.638068,0.65967,0.594736
TTO,value_added_Agr,,,,,,1.553479,1.506347,1.396672,1.19007,1.256733,0.981099,0.876632,0.931673,0.610149,0.42162,0.347629,0.28719,0.250963,0.230544,0.378292,,,,,,
TUN,value_added_Agr,,,12.772611,11.712741,9.832852,8.849594,10.84602,10.351511,9.778188,9.802983,9.181828,8.600086,7.478878,8.560561,9.305991,8.786177,8.789222,8.20201,7.511191,,,,,,,
TUR,value_added_Agr,11.810602,10.306879,10.171173,10.309971,10.327383,10.555339,11.417786,9.771219,11.851541,9.965318,9.626288,8.449935,9.858543,9.439217,8.973025,8.761425,7.705746,7.060403,6.993407,7.588847,7.665515,7.079416,6.7354,6.054426,5.764339,6.005546
UGA,value_added_Agr,,,,,,,,,,,,,,,,,,,19.018399,22.44127,18.705322,20.696891,20.372072,18.852182,19.090084,17.965266
UKR,value_added_Agr,,,,,,,11.426935,11.766038,11.338793,10.96626,13.360176,13.915074,12.548226,10.454211,10.399356,8.839333,7.212502,6.26174,6.514901,6.877992,7.661754,8.437763,8.042008,,,
GBR,value_added_Agr,1.220855,1.201159,1.192021,1.198874,1.236688,1.192491,1.036844,0.917156,0.826314,0.771523,0.711485,0.680537,0.660659,0.703955,0.712546,0.515152,0.500398,0.506715,0.574702,0.490345,0.595363,0.55374,0.54242,0.589996,0.555779,0.532733
TZA,value_added_Agr,,,,,,,,,,,,,,,,24.566081,23.649454,22.80089,24.586892,25.623077,25.660276,25.268232,26.373301,25.719403,23.431113,23.405708
USA,value_added_Agr,1.246455,1.146939,1.175533,1.083533,1.115778,0.985966,1.107859,1.039253,0.892531,0.773405,0.777513,0.770487,0.69553,0.832021,0.98392,0.825093,0.73765,0.800094,0.873765,0.776791,0.881038,1.082656,0.949651,1.13025,0.969299,
URY,value_added_Agr,,,6.732751,5.650998,6.080802,6.633858,6.170944,5.773876,6.0054,4.946114,5.063335,4.916599,6.591537,8.654913,10.067431,7.985074,8.081592,7.74035,8.34195,7.276267,6.442229,8.314806,7.734219,7.23357,6.298853,5.692809
VEN,value_added_Agr,5.408453,5.459478,5.265851,5.193245,4.955233,5.090939,4.120706,4.010328,4.46116,3.912403,3.595725,3.873289,3.485933,3.852147,3.266768,3.356013,3.380102,3.527271,,,,,,,,
